security_key,latest_project_ticker,canonical_company_name,exact_legal_name_alias,structural_ambiguity_tier,historical_name_review_flag,ticker_like_exact_name_flag,ticker_candidate_ciks_pipe,current_exact_name_ciks_pipe,historical_exact_name_ciks_pipe,candidate_sec_cik,mapping_status,mapping_rationale,sec_current_name,sec_current_name_normalized,sec_tickers_pipe,former_name_count,sec_current_name_exact_match_flag,former_name_evidence_flag,sec_resolution_review_flag,review_priority,review_reason
PBCT,PBCT,People's United Financial,people s united financial,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
PXD,PXD,Pioneer Natural Resources,pioneer natural resources,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
TROW,TROW,T ROWE PRICE GROUP INC,t rowe price group inc,LOW,0,0,0001113169,,0001214556,,REVIEW_CONFLICT,Unique ticker candidate 0001113169 conflicts with unique exact-name candidate 0001214556.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
VAR,VAR,Varian Medical Systems,varian medical systems,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
WBA,WBA,Walgreens Boots Alliance,walgreens boots alliance,LOW,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
ALXN,ALXN,Alexion Pharmaceuticals,alexion pharmaceuticals,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
AMAT,AMAT,APPLIED MATERIALS INC,applied materials inc,MEDIUM,0,0,0000006951,,0001163976,,REVIEW_CONFLICT,Unique ticker candidate 0000006951 conflicts with unique exact-name candidate 0001163976.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
AMT,AMT,AMERICAN TOWER CORP,american tower corp,MEDIUM,0,0,0001053507,,0000932455,,REVIEW_CONFLICT,Unique ticker candidate 0001053507 conflicts with unique exact-name candidate 0000932455.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
ATVI,ATVI,Activision Blizzard,activision blizzard,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
CTRA,CTRA,Coterra Energy,coterra energy,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
CTXS,CTXS,Citrix Systems,citrix systems,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
CXO,CXO,Concho Resources,concho resources,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
DAY,DAY,Ceridian HCM Holding,ceridian hcm holding,MEDIUM,1,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
DISH,DISH,DISH Network,dish network,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
DRE,DRE,Duke Realty,duke realty,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
EA,EA,Electronic Arts,electronic arts,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
EQR,EQR,EQUITY RESIDENTIAL,equity residential,MEDIUM,0,0,0000931182,,0000906107,,REVIEW_CONFLICT,Unique ticker candidate 0000931182 conflicts with unique exact-name candidate 0000906107.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
FLIR,FLIR,FLIR Systems,flir systems,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
GWW,GWW,WW GRAINGER INC,ww grainger inc,MEDIUM,0,0,0000277135,,0000276172,,REVIEW_CONFLICT,Unique ticker candidate 0000277135 conflicts with unique exact-name candidate 0000276172.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
INFO,INFO,IHS Markit,ihs markit,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
INVH,INVH,Invitation Homes,invitation homes,MEDIUM,0,0,0001687229,,0001579471,,REVIEW_CONFLICT,Unique ticker candidate 0001687229 conflicts with unique exact-name candidate 0001579471.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
IP,IP,INTERNATIONAL PAPER CO,international paper co,MEDIUM,0,0,0000051434,,0001283246,,REVIEW_CONFLICT,Unique ticker candidate 0000051434 conflicts with unique exact-name candidate 0001283246.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
IPG,IPG,Interpublic Group,interpublic group,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
JNPR,JNPR,Juniper Networks,juniper networks,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
MRO,MRO,Marathon Oil,marathon oil,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
NOC,NOC,NORTHROP GRUMMAN CORP,northrop grumman corp,MEDIUM,0,0,0001133421,,0000072945,,REVIEW_CONFLICT,Unique ticker candidate 0001133421 conflicts with unique exact-name candidate 0000072945.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
SBNY,SBNY,Signature Bank,signature bank,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
SEE,SEE,Sealed Air,sealed air,MEDIUM,0,0,,,,,UNRESOLVED,No unique SEC ticker or exact-name mapping.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
TJX,TJX,TJX COMPANIES INC,tjx companies inc,MEDIUM,0,0,0000109198,,0000814445,,REVIEW_CONFLICT,Unique ticker candidate 0000109198 conflicts with unique exact-name candidate 0000814445.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
VLO,VLO,VALERO ENERGY CORP,valero energy corp,MEDIUM,0,0,0001035002,,0000021271,,REVIEW_CONFLICT,Unique ticker candidate 0001035002 conflicts with unique exact-name candidate 0000021271.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
WMB,WMB,WILLIAMS COS INC,williams cos inc,MEDIUM,0,0,0000107263,,0000905982,,REVIEW_CONFLICT,Unique ticker candidate 0000107263 conflicts with unique exact-name candidate 0000905982.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
ZION,ZION,Zions Bancorporation,zions bancorporation,MEDIUM,0,0,0000109380,,0001642140,,REVIEW_CONFLICT,Unique ticker candidate 0000109380 conflicts with unique exact-name candidate 0001642140.,,,,,0,0,1,1,SEC CIK mapping not auto-resolved; SEC current name differs from project exact name
ABNB,ABNB,Airbnb,airbnb,HIGH,1,0,0001559720,,,0001559720,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","Airbnb, Inc.",airbnb inc,ABNB,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
AEE,AEE,AMEREN CORPORATION,ameren corporation,HIGH,1,0,0001002910,,,0001002910,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",AMEREN CORP,ameren corp,AEE,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
AMTM,AMTM,Amentum,amentum,HIGH,1,0,0002011286,,,0002011286,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","Amentum Holdings, Inc.",amentum holdings inc,AMTM,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
APP,APP,AppLovin,applovin,HIGH,1,0,0001751008,,,0001751008,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",AppLovin Corp,applovin corp,APP,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
BG,BG,Bunge,bunge,HIGH,1,0,0001996862,,,0001996862,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",Bunge Global SA,bunge global sa,BG,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
BWA,BWA,Borgwarner,borgwarner,HIGH,1,0,0000908255,,,0000908255,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",BORGWARNER INC,borgwarner inc,BWA,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
BX,BX,Blackstone,blackstone,HIGH,1,0,0001393818,,,0001393818,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",Blackstone Inc.,blackstone inc,BX,3.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CE,CE,Celanese,celanese,HIGH,1,0,0001306830,,,0001306830,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",Celanese Corp,celanese corp,CE,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CLX,CLX,CLOROX COMPANY,clorox company,HIGH,1,0,0000021076,,,0000021076,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",CLOROX CO /DE/,clorox co de,CLX,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CRH,CRH,CRH,crh,HIGH,1,1,0000849395,,,0000849395,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",CRH PUBLIC LTD CO,crh public ltd co,CRH,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; ticker-like exact company name; SEC current name differs from project exact name
CRWD,CRWD,CrowdStrike Holdings,crowdstrike holdings,HIGH,1,0,0001535527,,,0001535527,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","CrowdStrike Holdings, Inc.",crowdstrike holdings inc,CRWD,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
CVNA,CVNA,Carvana,carvana,HIGH,1,0,0001690820,,,0001690820,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",CARVANA CO.,carvana co,CVNA,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
DASH,DASH,DoorDash,doordash,HIGH,1,0,0001792789,,,0001792789,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","DoorDash, Inc.",doordash inc,DASH,2.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
DDOG,DDOG,Datadog,datadog,HIGH,1,0,0001561550,,,0001561550,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","Datadog, Inc.",datadog inc,DDOG,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
DE,DE,DEERE + CO,deere co,HIGH,1,0,0000315189,,,0000315189,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",DEERE & CO,deere and co,DE,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
EQT,EQT,EQT,eqt,HIGH,1,1,0000033213,,,0000033213,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",EQT Corp,eqt corp,EQT,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; ticker-like exact company name; SEC current name differs from project exact name
ETR,ETR,ENTERGY CORP,entergy corp,HIGH,1,0,0000065984,,0000893928|0001214615,0000065984,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",ENTERGY CORP /DE/,entergy corp de,ETR,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
ETSY,ETSY,Etsy,etsy,HIGH,1,1,0001370637,,,0001370637,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",ETSY INC,etsy inc,ETSY,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; ticker-like exact company name; SEC current name differs from project exact name
FLS,FLS,Flowserve,flowserve,HIGH,1,0,0000030625,,,0000030625,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",FLOWSERVE CORP,flowserve corp,FLS,2.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
FMC,FMC,FMC,fmc,HIGH,1,1,0000037785,,,0000037785,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",FMC CORP,fmc corp,FMC,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; ticker-like exact company name; SEC current name differs from project exact name
FTI,FTI,TechnipFMC,technipfmc,HIGH,1,0,0001681459,,,0001681459,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",TechnipFMC plc,technipfmc plc,FTI,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
FTRE,FTRE,Fortrea Holdings,fortrea holdings,HIGH,1,0,0001965040,,,0001965040,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",Fortrea Holdings Inc.,fortrea holdings inc,FTRE,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
GDDY,GDDY,GoDaddy,godaddy,HIGH,1,0,0001609711,,,0001609711,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",GoDaddy Inc.,godaddy inc,GDDY,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
GLW,GLW,CORNING INC,corning inc,HIGH,1,0,0000024741,,,0000024741,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",CORNING INC /NY,corning inc ny,GLW,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
GNRC,GNRC,Generac Holdings,generac holdings,HIGH,1,0,0001474735,,,0001474735,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",GENERAC HOLDINGS INC.,generac holdings inc,GNRC,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
HUBB,HUBB,Hubbell,hubbell,HIGH,1,0,0000048898,,,0000048898,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",HUBBELL INC,hubbell inc,HUBB,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
IEX,IEX,IDEX CORP,idex corp,HIGH,1,0,0000832101,,,0000832101,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",IDEX CORP /DE/,idex corp de,IEX,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
ILMN,ILMN,Illumina,illumina,HIGH,1,0,0001110803,,,0001110803,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","ILLUMINA, INC.",illumina inc,ILMN,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
JBL,JBL,Jabil,jabil,HIGH,1,0,0000898293,,,0000898293,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",JABIL INC,jabil inc,JBL,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
KKR,KKR,KKR & Co,kkr and co,HIGH,1,0,0001404912,,,0001404912,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",KKR & Co. Inc.,kkr and co inc,KKR|KKR-PD|KKRS|KKRT,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
KMX,KMX,CarMax,carmax,HIGH,1,0,0001170010,,,0001170010,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",CARMAX INC,carmax inc,KMX,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
KVUE,KVUE,Kenvue,kenvue,HIGH,1,0,0001944048,,,0001944048,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",Kenvue Inc.,kenvue inc,KVUE,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
LKQ,LKQ,LKQ,lkq,HIGH,1,1,0001065696,,,0001065696,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",LKQ CORP,lkq corp,LKQ,1.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; ticker-like exact company name; SEC current name differs from project exact name
MAS,MAS,MASCO CORP,masco corp,HIGH,1,0,0000062996,,,0000062996,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",MASCO CORP /DE/,masco corp de,MAS,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
MBC,MBC,MasterBrand,masterbrand,HIGH,1,0,0001941365,,,0001941365,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.","MasterBrand, Inc.",masterbrand inc,MBC,0.0,0,0,1,2,SEC CIK mapping not auto-resolved; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
MCO,MCO,MOODY S CORP,moody s corp,HIGH,1,0,0001059556,,,0001059556,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",MOODYS CORP /DE/,moodys corp de,MCO,2.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
MKTX,MKTX,MarketAxess Holdings,marketaxess holdings,HIGH,1,0,0001278021,,,0001278021,REVIEW_TICKER_ONLY,"Ticker maps uniquely, but exact normalized company name did not independently confirm the same CIK.",MARKETAXESS HOLDINGS INC,marketaxess holdings inc,MKTX,2.0,0,1,1,2,SEC CIK mapping not auto-resolved; SEC former-name evidence present; Stage 3A PIT/name-history review flag; SEC current name differs from project exact name
