security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale,research_priority,required_source_standard,research_question
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,0001048286,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,MARRIOTT INTERNATIONAL INC /MD/,MARRIOTT INTERNATIONAL,Marriott International Inc/MD,MARRIOTT INTERNATIONAL INC MD,1,0,1,1,MARRIOTT INTERNATIONAL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
MKC,MKC,MCCORMICK + CO NON VTG SHRS,0000063754,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,MCCORMICK & CO INC,MCCORMICK AND,McCormick & Co Inc/MD,MCCORMICK AND CO INC MD,1,0,1,1,MCCORMICK AND,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,0002041610,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE,Paramount Skydance Corp,PARAMOUNT SKYDANCE,1,1,1,1,NEW PLUTO GLOBAL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
Q,Q,Qnity Electronics,0002058873,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Qnity Electronics, Inc.",QNITY ELECTRONICS,Qnity Electronics Inc,QNITY ELECTRONICS,1,1,1,1,NOVUS SPINCO 1,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
SOLV,SOLV,Solventum,0001964738,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Solventum Corp,SOLVENTUM,Solventum Corp,SOLVENTUM,1,1,1,1,3M HEALTH CARE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
TKO,TKO,TKO Group Holdings,0001973266,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"TKO Group Holdings, Inc.",TKO GROUP HOLDINGS,TKO Group Holdings Inc,TKO GROUP HOLDINGS,1,1,1,1,NEW WHALE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
WBD,WBD,Warner Bros. Discovery,0001437107,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Warner Bros. Discovery, Inc.",WARNER BROS DISCOVERY,Warner Bros Discovery Inc,WARNER BROS DISCOVERY,1,1,1,1,DISCOVERY,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
XYZ,XYZ,Block,0001512673,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Block, Inc.",BLOCK,Block Inc,BLOCK,1,1,1,1,SQUARE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
AOS,AOS,SMITH (A.O.) CORP,0000091142,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SMITH A O CORP,SMITH A O,A O Smith Corp,A O SMITH,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,0001043277,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"C. H. ROBINSON WORLDWIDE, INC.",C H ROBINSON WORLDWIDE,CH Robinson Worldwide Inc,CH ROBINSON WORLDWIDE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
EL,EL,ESTEE LAUDER COMPANIES CL A,0001001250,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER COMPANIES,Estee Lauder Cos Inc/The,ESTEE LAUDER COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,0000728535,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES,JB Hunt Transport Services Inc,JB HUNT TRANSPORT SERVICES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
LYB,LYB,LYONDELLBASELL INDU CL A,0001489393,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,LyondellBasell Industries N.V.,LYONDELLBASELL INDUSTRIES N V,LyondellBasell Industries NV,LYONDELLBASELL INDUSTRIES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
MRSH,MRSH,MARSH + MCLENNAN COS,0000062709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"MARSH & MCLENNAN COMPANIES, INC.",MARSH AND MCLENNAN COMPANIES,Marsh & McLennan Cos Inc,MARSH AND MCLENNAN COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
SCHW,SCHW,SCHWAB (CHARLES) CORP,0000316709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SCHWAB CHARLES CORP,SCHWAB CHARLES,Charles Schwab Corp/The,CHARLES SCHWAB,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
SNDK,SNDK,Sandisk,0002023554,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Sandisk Corp,SANDISK,Sandisk Corp/DE,SANDISK CORP DE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
TJX,TJX,TJX COMPANIES INC,,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,,,TJX Cos Inc/The,TJX COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
WFC,WFC,WELLS FARGO + CO,0000072971,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,WELLS FARGO & COMPANY/MN,WELLS FARGO AND COMPANY MN,Wells Fargo & Co,WELLS FARGO AND,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
WRB,WRB,WR BERKLEY CORP,0000011544,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,BERKLEY W R CORP,BERKLEY W R,W R Berkley Corp,W R BERKLEY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
XOM,XOM,EXXONMOBIL HOLDINGS CORP,0002115436,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ExxonMobil Holdings Corp,EXXONMOBIL HOLDINGS,Exxon Mobil Corp,EXXON MOBIL,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
XYL,XYL,XYLEM INC,0001524472,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Xylem Inc.,XYLEM,Xylem Inc/NY,XYLEM INC NY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.
