security_key,latest_project_ticker,canonical_company_name,research_type,from_name_key,to_name_key,search_start_date,search_end_date,candidate_sec_cik,research_priority,required_source_standard,research_question
HST,HST,HOST HOTELS + RESORTS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001070750,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IBM,IBM,INTL BUSINESS MACHINES CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000051143,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ICE,ICE,INTERCONTINENTAL EXCHANGE IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001571949,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IFF,IFF,INTL FLAVORS + FRAGRANCES,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000051253,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
INTU,INTU,INTUIT INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000896878,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
IVZ,IVZ,INVESCO LTD,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000914208,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
J,J,JACOBS SOLUTIONS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000052988,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000728535,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JCI,JCI,JOHNSON CONTROLS INTERNATION,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000833444,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000779152,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JNJ,JNJ,JOHNSON + JOHNSON,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000200406,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
JPM,JPM,JPMORGAN CHASE + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000019617,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
KEYS,KEYS,KEYSIGHT TECHNOLOGIES IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001601046,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
KVUE,KVUE,Kenvue,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001944048,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LEN,LEN,LENNAR CORP A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000920760,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LH,LH,LABCORP HOLDINGS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000920148,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LLY,LLY,ELI LILLY + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000059478,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LMT,LMT,LOCKHEED MARTIN CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000936468,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LNT,LNT,ALLIANT ENERGY CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000352541,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LYB,LYB,LYONDELLBASELL INDU CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001489393,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
LYV,LYV,LIVE NATION ENTERTAINMENT IN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001335258,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MA,MA,MASTERCARD INC   A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001141391,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MAA,MAA,MID AMERICA APARTMENT COMM,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000912595,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MAR,MAR,MARRIOTT INTERNATIONAL  CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001048286,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MDLZ,MDLZ,MONDELEZ INTERNATIONAL INC A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001103982,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MKC,MKC,MCCORMICK + CO NON VTG SHRS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000063754,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MPWR,MPWR,Monolithic Power Systems,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001280452,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MRK,MRK,MERCK + CO. INC.,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000310158,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MRSH,MRSH,MARSH + MCLENNAN COS,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000062709,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MS,MS,MORGAN STANLEY,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000895421,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
MTB,MTB,M + T BANK CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000036270,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NCLH,NCLH,NORWEGIAN CRUISE LINE HOLDIN,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001513761,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NRG,NRG,NRG ENERGY INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001013871,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
NXPI,NXPI,NXP Semiconductors,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001413447,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PANW,PANW,Palo Alto Networks,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001327567,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PCG,PCG,PG&E,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001004980,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PEG,PEG,PUBLIC SERVICE ENTERPRISE GP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000788784,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PFE,PFE,PFIZER INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000078003,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PG,PG,PROCTER + GAMBLE CO/THE,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000080424,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PH,PH,PARKER HANNIFIN CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000076334,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
PSKY,PSKY,PARAMOUNT SKYDANCE CL B,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002041610,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
Q,Q,Qnity Electronics,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002058873,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ROP,ROP,ROPER TECHNOLOGIES INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000882835,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
SCHW,SCHW,SCHWAB (CHARLES) CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000316709,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
