target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,theme_code,theme_name,taxonomy_domain,supporting_evidence_id,supporting_event_category,supporting_source_organization,supporting_source_url,taxonomy_sha256
SECURITY,3,NFLX,NFLX,,,S06,Digital Platform / Monetization Shift,SECURITY_STRUCTURAL,SEC-NFLX-002,Scaling advertising and paid sharing,"Netflix, Inc.",https://ir.netflix.net/files/doc_financials/2023/q4/NEW-FINAL-Q4-23-Shareholder-Letter.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,4,META,META,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-META-001,AI recommendation and efficiency restructuring,"Meta Platforms, Inc.",https://investor.atmeta.com/investor-news/press-release-details/2023/Meta-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,4,META,META,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-META-002,AI infrastructure investment,"Meta Platforms, Inc.",https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx?code=unknown,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,4,META,META,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-META-002,AI infrastructure investment,"Meta Platforms, Inc.",https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx?code=unknown,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,5,NRG,NRG,,,S06,Digital Platform / Monetization Shift,SECURITY_STRUCTURAL,SEC-NRG-001,Smart-home platform acquisition,"NRG Energy, Inc.",https://investors.nrg.com/news-releases/news-release-details/nrg-energy-inc-acquire-vivint-smart-home-inc,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,5,NRG,NRG,,,S06,Digital Platform / Monetization Shift,SECURITY_STRUCTURAL,SEC-NRG-002,Energy and connected-home services convergence,"NRG Energy, Inc.",https://investors.nrg.com/news-releases/news-release-details/nrg-completes-acquisition-vivint-smart-home-inc-creating-leading,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,5,NRG,NRG,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-NRG-001,Smart-home platform acquisition,"NRG Energy, Inc.",https://investors.nrg.com/news-releases/news-release-details/nrg-energy-inc-acquire-vivint-smart-home-inc,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,5,NRG,NRG,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-NRG-002,Energy and connected-home services convergence,"NRG Energy, Inc.",https://investors.nrg.com/news-releases/news-release-details/nrg-completes-acquisition-vivint-smart-home-inc-creating-leading,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,6,MOS,MOS,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-MOS-001,Fertilizer pricing upcycle,The Mosaic Company,https://investors.mosaicco.com/files/doc_financials/2021/q4/Press-Release-2.22.2022_FINAL.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,6,MOS,MOS,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-MOS-002,Potash/phosphate price cycle,The Mosaic Company,https://investors.mosaicco.com/files/doc_financials/2022/q4/FINAL_Press-Release-Q4-2022-_305PM.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,7,ALB,ALB,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-ALB-001,"Lithium pricing, EV battery demand, and capacity expansion",Albemarle Corporation,https://investors.albemarle.com/news-and-events/news/news-details/2022/Albemarle-Reports-Net-Sales-Increase-of-152-for-Third-Quarter-2022/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,7,ALB,ALB,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-ALB-002,Energy-storage growth and lithium pricing,Albemarle Corporation,https://investors.albemarle.com/news-and-events/news/news-details/2023/Albemarle-Reports-Net-Sales-Increase-3x-for-Fourth-Quarter-2022-Full-Year-Net-Sales-Over-7-Billion/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,7,ALB,ALB,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-ALB-001,"Lithium pricing, EV battery demand, and capacity expansion",Albemarle Corporation,https://investors.albemarle.com/news-and-events/news/news-details/2022/Albemarle-Reports-Net-Sales-Increase-of-152-for-Third-Quarter-2022/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,7,ALB,ALB,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-ALB-002,Energy-storage growth and lithium pricing,Albemarle Corporation,https://investors.albemarle.com/news-and-events/news/news-details/2023/Albemarle-Reports-Net-Sales-Increase-3x-for-Fourth-Quarter-2022-Full-Year-Net-Sales-Over-7-Billion/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,7,ALB,ALB,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-ALB-001,"Lithium pricing, EV battery demand, and capacity expansion",Albemarle Corporation,https://investors.albemarle.com/news-and-events/news/news-details/2022/Albemarle-Reports-Net-Sales-Increase-of-152-for-Third-Quarter-2022/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-VST-001,Nuclear-generation scale acquisition,Vistra Corp.,https://investor.vistracorp.com/2023-03-06-Vistra-to-Create-Vistra-Vision%2C-a-Leading-Zero-Carbon-Generation-and-Retail-Platform%2C-Through-the-Acquisition-of-Energy-Harbor,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-VST-002,Completion of nuclear portfolio expansion,Vistra Corp.,https://investor.vistracorp.com/2024-03-01-Vistra-Completes-Energy-Harbor-Acquisition,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-VST-001,Nuclear-generation scale acquisition,Vistra Corp.,https://investor.vistracorp.com/2023-03-06-Vistra-to-Create-Vistra-Vision%2C-a-Leading-Zero-Carbon-Generation-and-Retail-Platform%2C-Through-the-Acquisition-of-Energy-Harbor,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-VST-001,Nuclear-generation scale acquisition,Vistra Corp.,https://investor.vistracorp.com/2023-03-06-Vistra-to-Create-Vistra-Vision%2C-a-Leading-Zero-Carbon-Generation-and-Retail-Platform%2C-Through-the-Acquisition-of-Energy-Harbor,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-VST-002,Completion of nuclear portfolio expansion,Vistra Corp.,https://investor.vistracorp.com/2024-03-01-Vistra-Completes-Energy-Harbor-Acquisition,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-VST-001,Nuclear-generation scale acquisition,Vistra Corp.,https://investor.vistracorp.com/2023-03-06-Vistra-to-Create-Vistra-Vision%2C-a-Leading-Zero-Carbon-Generation-and-Retail-Platform%2C-Through-the-Acquisition-of-Energy-Harbor,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,8,VST,VST,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-VST-002,Completion of nuclear portfolio expansion,Vistra Corp.,https://investor.vistracorp.com/2024-03-01-Vistra-Completes-Energy-Harbor-Acquisition,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,9,DVN,DVN,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-DVN-001,Commodity-linked free-cash-flow return model,Devon Energy Corporation,https://investors.devonenergy.com/investors/press-releases/press-release-details/2022/Devon-Energy-Announces-Fourth-Quarter-Dividend-and-Next-Steps-in-Cash-Return-Strategy/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,9,DVN,DVN,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-DVN-002,Oil asset consolidation and free-cash-flow expansion,Devon Energy Corporation,https://investors.devonenergy.com/investors/press-releases/press-release-details/2022/Devon-Energy-Completes-Acquisition-of-Eagle-Ford-Bolt-On/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,9,DVN,DVN,,,S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,SEC-DVN-002,Oil asset consolidation and free-cash-flow expansion,Devon Energy Corporation,https://investors.devonenergy.com/investors/press-releases/press-release-details/2022/Devon-Energy-Completes-Acquisition-of-Eagle-Ford-Bolt-On/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,10,IRM,IRM,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-IRM-001,Data-center capacity and hyperscaler exposure,Iron Mountain Incorporated / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000096/sseflattened-irm2024annual.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,10,IRM,IRM,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-IRM-002,Data-center leasing growth,Iron Mountain Incorporated,https://investors.ironmountain.com/news/news-details/2024/Iron-Mountain-Reports-First-Quarter-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,10,IRM,IRM,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-IRM-001,Data-center capacity and hyperscaler exposure,Iron Mountain Incorporated / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000096/sseflattened-irm2024annual.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,10,IRM,IRM,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-IRM-002,Data-center leasing growth,Iron Mountain Incorporated,https://investors.ironmountain.com/news/news-details/2024/Iron-Mountain-Reports-First-Quarter-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,11,TSLA,TSLA,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-TSLA-002,AI compute and energy-storage expansion,"Tesla, Inc.",https://ir.tesla.com/_flysystem/s3/sec/000162828025002993/tsla-20250129-gen.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,11,TSLA,TSLA,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-TSLA-001,Electric-vehicle production scale,"Tesla, Inc.",https://ir.tesla.com/press-release/tesla-vehicle-production-deliveries-and-date-financial-results-webcast-fourth-quarter-2023,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,11,TSLA,TSLA,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-TSLA-002,AI compute and energy-storage expansion,"Tesla, Inc.",https://ir.tesla.com/_flysystem/s3/sec/000162828025002993/tsla-20250129-gen.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,11,TSLA,TSLA,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-TSLA-001,Electric-vehicle production scale,"Tesla, Inc.",https://ir.tesla.com/press-release/tesla-vehicle-production-deliveries-and-date-financial-results-webcast-fourth-quarter-2023,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,11,TSLA,TSLA,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-TSLA-002,AI compute and energy-storage expansion,"Tesla, Inc.",https://ir.tesla.com/_flysystem/s3/sec/000162828025002993/tsla-20250129-gen.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,12,MPC,MPC,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-MPC-001,Renewable-fuels conversion and capital returns,Marathon Petroleum Corporation,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2022/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-2021-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,12,MPC,MPC,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-MPC-002,Refining cash generation and low-carbon investment,Marathon Petroleum Corporation,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2023/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,12,MPC,MPC,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-MPC-001,Renewable-fuels conversion and capital returns,Marathon Petroleum Corporation,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2022/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-2021-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,12,MPC,MPC,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-MPC-002,Refining cash generation and low-carbon investment,Marathon Petroleum Corporation,https://ir.marathonpetroleum.com/investor/news-releases/news-details/2023/Marathon-Petroleum-Corp.-Reports-Fourth-Quarter-and-Full-Year-2022-Results/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,13,FCX,FCX,,,S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,SEC-FCX-002,Copper exposure to data centers and AI infrastructure,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,13,FCX,FCX,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-FCX-001,Copper demand from electrification and energy transition,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/fcx-20231231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,13,FCX,FCX,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-FCX-002,Copper exposure to data centers and AI infrastructure,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,13,FCX,FCX,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-FCX-001,Copper demand from electrification and energy transition,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/831259/000083125924000011/fcx-20231231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,13,FCX,FCX,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-FCX-002,Copper exposure to data centers and AI infrastructure,Freeport-McMoRan Inc. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/831259/000083125925000006/fcx-20241231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,14,CF,CF,,,S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,SEC-CF-002,Clean-ammonia energy-transition optionality,"CF Industries Holdings, Inc.",https://www.cfindustries.com/newsroom/2023/jera-mou,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,14,CF,CF,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-CF-001,"Nitrogen scarcity, energy spreads, and fertilizer pricing","CF Industries Holdings, Inc.",https://investor.cfindustries.com/Investors/news/news-details/2023/CF-Industries-Holdings-Inc.-Reports-Full-Year-2022-Net-Earnings-of-3.35-Billion-Adjusted-EBITDA-of-5.88-Billion/default.aspx,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,15,TRGP,TRGP,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-TRGP-001,Permian and NGL infrastructure expansion,Targa Resources Corp.,https://www.targaresources.com/news-releases/news-release-details/targa-resources-corp-reports-record-fourth-quarter-and-full-year,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,15,TRGP,TRGP,,,S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,SEC-TRGP-002,Fee-based midstream network and NGL connectivity,Targa Resources Corp. / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/1389170/000095017025023983/trgp-20241231.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,15,TRGP,TRGP,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-TRGP-001,Permian and NGL infrastructure expansion,Targa Resources Corp.,https://www.targaresources.com/news-releases/news-release-details/targa-resources-corp-reports-record-fourth-quarter-and-full-year,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,16,LYV,LYV,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-LYV-001,Post-pandemic live-event demand rebound,"Live Nation Entertainment, Inc.",https://investors.livenationentertainment.com/sec-filings/all-sec-filings/content/0001335258-22-000143/0001335258-22-000143.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,16,LYV,LYV,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-LYV-002,Structural growth in live entertainment demand,"Live Nation Entertainment, Inc.",https://investors.livenationentertainment.com/sec-filings/all-sec-filings/content/0001335258-25-000027/0001335258-25-000027.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,16,LYV,LYV,,,S07,Experiential / Consumer Demand,SECURITY_STRUCTURAL,SEC-LYV-001,Post-pandemic live-event demand rebound,"Live Nation Entertainment, Inc.",https://investors.livenationentertainment.com/sec-filings/all-sec-filings/content/0001335258-22-000143/0001335258-22-000143.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,16,LYV,LYV,,,S07,Experiential / Consumer Demand,SECURITY_STRUCTURAL,SEC-LYV-002,Structural growth in live entertainment demand,"Live Nation Entertainment, Inc.",https://investors.livenationentertainment.com/sec-filings/all-sec-filings/content/0001335258-25-000027/0001335258-25-000027.pdf,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,17,LLY,LLY,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-LLY-001,GLP-1/incretin manufacturing capacity expansion,Eli Lilly and Company,https://investor.lilly.com/node/50776,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,17,LLY,LLY,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-LLY-002,Incretin volume growth and pharmaceutical innovation,Eli Lilly and Company,https://investor.lilly.com/news-releases/news-release-details/lilly-reports-full-q4-2024-financial-results-and-provides-2025,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,18,COST,COST,,,S10,Recurring Membership / Customer-Loyalty Economics,SECURITY_STRUCTURAL,SEC-COST-002,Membership economics and recurring customer loyalty,Costco Wholesale Corporation / U.S. Securities and Exchange Commission,https://www.sec.gov/Archives/edgar/data/909832/000090983224000049/cost-20240901.htm,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,19,TPL,TPL,,,S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,SEC-TPL-001,Permian royalty and water-platform growth,Texas Pacific Land Corporation,https://www.texaspacific.com/investors/news-events/press-releases/detail/166/texas-pacific-land-corporation-announces-fourth-quarter-and,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
SECURITY,19,TPL,TPL,,,S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,SEC-TPL-001,Permian royalty and water-platform growth,Texas Pacific Land Corporation,https://www.texaspacific.com/investors/news-events/press-releases/detail/166/texas-pacific-land-corporation-announces-fourth-quarter-and,1c7698cbe2facd069c7a12fda41cbf7399a9f657ed4f7a9f956d135f8f9d2576
