target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,evidence_id,evidence_date,source_type,source_organization,source_title,source_url,primary_source_flag,event_scope,event_category,timing_relation_to_ranking,evidence_summary,short_quote_max_25_words,provisional_theme_code,supports_cross_sector_commonality_flag,confidence_level,researcher_notes
SECURITY,6,MOS,MOS,,,SEC-MOS-002,2023-02-22,COMPANY_IR,The Mosaic Company,The Mosaic Company Reports Fourth Quarter and Full Year 2022 Results,https://investors.mosaicco.com/files/doc_financials/2022/q4/FINAL_Press-Release-Q4-2022-_305PM.pdf,YES,COMPANY_SPECIFIC,Potash/phosphate price cycle,BACKGROUND,Mosaic reported 2022 net income of $3.6 billion and adjusted EBITDA of $6.2 billion. Potash net sales doubled versus 2021 as higher prices lifted realized selling prices and margins.,,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,7,ALB,ALB,,,SEC-ALB-001,2022-11-02,COMPANY_IR,Albemarle Corporation,Albemarle Reports Net Sales Increase of 152% for Third Quarter 2022,https://investors.albemarle.com/news-and-events/news/news-details/2022/Albemarle-Reports-Net-Sales-Increase-of-152-for-Third-Quarter-2022/default.aspx,YES,COMPANY_SPECIFIC,"Lithium pricing, EV battery demand, and capacity expansion",BACKGROUND,"Albemarle reported lithium net sales up 318% year over year, driven predominantly by higher pricing and supported by volume growth, while explicitly citing strong lithium-ion battery demand and capacity expansion.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,7,ALB,ALB,,,SEC-ALB-002,2023-02-15,COMPANY_IR,Albemarle Corporation,Albemarle Reports Net Sales Increase ~3x for Fourth Quarter 2022; Full-Year Net Sales Over $7 Billion,https://investors.albemarle.com/news-and-events/news/news-details/2023/Albemarle-Reports-Net-Sales-Increase-3x-for-Fourth-Quarter-2022-Full-Year-Net-Sales-Over-7-Billion/default.aspx,YES,COMPANY_SPECIFIC,Energy-storage growth and lithium pricing,BACKGROUND,"Albemarle reported full-year 2022 sales above $7 billion and adjusted EBITDA near four times 2021, with continued favorable lithium pricing and demand central to its 2023 growth outlook.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,8,VST,VST,,,SEC-VST-001,2023-03-06,COMPANY_IR,Vistra Corp.,Vistra to Create 'Vistra Vision' Through the Acquisition of Energy Harbor,https://investor.vistracorp.com/2023-03-06-Vistra-to-Create-Vistra-Vision%2C-a-Leading-Zero-Carbon-Generation-and-Retail-Platform%2C-Through-the-Acquisition-of-Energy-Harbor,YES,COMPANY_SPECIFIC,Nuclear-generation scale acquisition,BACKGROUND,"Vistra announced the Energy Harbor transaction, which was expected to add about 4,000 MW of nuclear capacity and create a roughly 7,800 MW zero-carbon generation platform.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,8,VST,VST,,,SEC-VST-002,2024-03-01,COMPANY_IR,Vistra Corp.,Vistra Completes Energy Harbor Acquisition,https://investor.vistracorp.com/2024-03-01-Vistra-Completes-Energy-Harbor-Acquisition,YES,COMPANY_SPECIFIC,Completion of nuclear portfolio expansion,BACKGROUND,"Vistra completed the Energy Harbor acquisition, adding about 4,000 MW of 24/7 nuclear generation and roughly one million retail customers, creating the second-largest competitive U.S. nuclear fleet.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,9,DVN,DVN,,,SEC-DVN-001,2022-02-15,COMPANY_IR,Devon Energy Corporation,Devon Energy Announces Fourth-Quarter Dividend and Next Steps in Cash-Return Strategy,https://investors.devonenergy.com/investors/press-releases/press-release-details/2022/Devon-Energy-Announces-Fourth-Quarter-Dividend-and-Next-Steps-in-Cash-Return-Strategy/default.aspx,YES,COMPANY_SPECIFIC,Commodity-linked free-cash-flow return model,BACKGROUND,"Devon announced a record fixed-plus-variable dividend, a 45% increase in its fixed dividend, and an expanded $1.6 billion repurchase authorization, emphasizing its cash-return business model.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,9,DVN,DVN,,,SEC-DVN-002,2022-09-28,COMPANY_IR,Devon Energy Corporation,Devon Energy Completes Acquisition of Eagle Ford Bolt-On,https://investors.devonenergy.com/investors/press-releases/press-release-details/2022/Devon-Energy-Completes-Acquisition-of-Eagle-Ford-Bolt-On/default.aspx,YES,COMPANY_SPECIFIC,Oil asset consolidation and free-cash-flow expansion,BACKGROUND,"Devon completed the $1.8 billion Validus Energy acquisition, adding approximately 42,000 net Eagle Ford acres, production, drilling inventory, and additional high-margin free-cash-flow capacity.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,10,IRM,IRM,,,SEC-IRM-001,2025-02-21,SEC_FILING,Iron Mountain Incorporated / U.S. Securities and Exchange Commission,Iron Mountain 2024 Annual Report,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000096/sseflattened-irm2024annual.pdf,YES,COMPANY_SPECIFIC,Data-center capacity and hyperscaler exposure,BACKGROUND,"Iron Mountain reported 416 MW of leasable data-center capacity at year-end 2024 plus 864 MW under construction or held for development, evidencing a large and expanding digital-infrastructure platform.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
SECURITY,10,IRM,IRM,,,SEC-IRM-002,2024-05-02,COMPANY_IR,Iron Mountain Incorporated,Iron Mountain Reports First Quarter Results,https://investors.ironmountain.com/news/news-details/2024/Iron-Mountain-Reports-First-Quarter-Results/default.aspx,YES,COMPANY_SPECIFIC,Data-center leasing growth,BACKGROUND,"Iron Mountain reported leasing 30 MW of data-center capacity in Q1 2024 and record quarterly revenue, with data-center commencements contributing to adjusted EBITDA growth.",,,UNCLEAR,HIGH,Primary-source factual evidence for exploratory characterization only; no causal or H2-support claim.
MONTH,1,,,56,2025-08-29,MONTH-56-001,2025-09-17,FEDERAL_RESERVE,Board of Governors of the Federal Reserve System,Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20250917a.htm,YES,MARKETWIDE_MACRO,Monetary-policy easing,HOLDING_WINDOW,"During the September 2025 holding month, the FOMC cut the federal-funds target range by 25 basis points to 4.00%-4.25%, citing a shift in the balance of risks and increased downside risks to employment.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,1,,,56,2025-08-29,MONTH-56-002,2025-09-11,BLS,U.S. Bureau of Labor Statistics,Consumer Price Index - August 2025,https://www.bls.gov/news.release/archives/cpi_09112025.htm,YES,MARKETWIDE_MACRO,Inflation remained elevated during easing,HOLDING_WINDOW,"BLS reported August 2025 CPI up 0.4% month over month and 2.9% year over year, with shelter the largest contributor to the monthly rise and energy also increasing.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,2,,,2,2021-02-26,MONTH-02-001,2021-03-17,FEDERAL_RESERVE,Board of Governors of the Federal Reserve System,Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20210317a.htm,YES,MARKETWIDE_MACRO,Highly accommodative monetary policy,HOLDING_WINDOW,"During the March 2021 holding month, the FOMC maintained a 0%-0.25% funds-rate target and continued Treasury purchases of at least $80 billion per month plus agency MBS purchases of at least $40 billion per month.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,2,,,2,2021-02-26,MONTH-02-002,2021-03-11,US_GOV_PUBLIC_LAW,U.S. Government Publishing Office,Public Law 117-2 - American Rescue Plan Act of 2021,https://www.govinfo.gov/app/details/PLAW-117publ2/summary,YES,MARKETWIDE_MACRO,Large pandemic fiscal-relief enactment,HOLDING_WINDOW,"The American Rescue Plan Act became Public Law 117-2 on March 11, 2021, creating a major fiscal-policy event during the holding month as the economy was emerging from the pandemic shock.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,3,,,24,2022-12-30,MONTH-24-001,2023-01-12,BLS,U.S. Bureau of Labor Statistics,Consumer Price Index - December 2022,https://www.bls.gov/news.release/archives/cpi_01122023.htm,YES,MARKETWIDE_MACRO,Inflation deceleration,HOLDING_WINDOW,"BLS reported December 2022 CPI down 0.1% month over month and up 6.5% year over year, the smallest 12-month increase since October 2021, with gasoline a major contributor to the monthly decline.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,3,,,24,2022-12-30,MONTH-24-002,2023-01-06,BLS,U.S. Bureau of Labor Statistics,The Employment Situation - December 2022,https://www.bls.gov/news.release/archives/empsit_01062023.htm,YES,MARKETWIDE_MACRO,Resilient labor market,HOLDING_WINDOW,"BLS reported 223,000 additional nonfarm payroll jobs in December 2022 and a 3.5% unemployment rate, indicating continued labor-market strength during the January 2023 holding month.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,4,,,22,2022-10-31,MONTH-22-001,2022-11-02,FEDERAL_RESERVE,Board of Governors of the Federal Reserve System,Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20221102a.htm,YES,MARKETWIDE_MACRO,Restrictive monetary-policy tightening,HOLDING_WINDOW,"During the November 2022 holding month, the FOMC raised the federal-funds target range to 3.75%-4.00% and said ongoing increases would likely be appropriate, while acknowledging cumulative tightening and policy lags.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,4,,,22,2022-10-31,MONTH-22-002,2022-11-10,BLS,U.S. Bureau of Labor Statistics,Consumer Price Index - October 2022,https://www.bls.gov/news.release/archives/cpi_11102022.htm,YES,MARKETWIDE_MACRO,Inflation deceleration from high levels,HOLDING_WINDOW,"BLS reported October 2022 CPI up 0.4% month over month and 7.7% year over year, the smallest 12-month increase since January 2022, although inflation remained high.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,5,,,12,2021-12-31,MONTH-12-001,2022-01-26,FEDERAL_RESERVE,Board of Governors of the Federal Reserve System,Federal Reserve issues FOMC statement,https://www.federalreserve.gov/newsevents/pressreleases/monetary20220126a.htm,YES,MARKETWIDE_MACRO,Hawkish monetary-policy pivot,HOLDING_WINDOW,"During the January 2022 holding month, the FOMC said it would soon be appropriate to raise the federal-funds rate and planned to end net asset purchases in early March.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
MONTH,5,,,12,2021-12-31,MONTH-12-002,2022-01-12,BLS,U.S. Bureau of Labor Statistics,Consumer Price Index - December 2021,https://www.bls.gov/news.release/archives/cpi_01122022.htm,YES,MARKETWIDE_MACRO,High inflation,HOLDING_WINDOW,"BLS reported December 2021 CPI up 0.5% month over month and 7.0% year over year, documenting the inflation backdrop surrounding the Federal Reserve's early-2022 policy pivot.",,,UNCLEAR,HIGH,Event occurred during the one-month forward holding window. Contemporaneous evidence only; no causal attribution.
